protocol_version,construct_code,target_facet,high_anchor_ko,low_anchor_ko,non_value_guardrail
m04-core-expert-kit.v0.2-draft,SE_RE,SE-RE,함께하는 동안 참여와 에너지가 자연스럽게 이어진다,함께하는 동안 참여 에너지가 덜 이어지거나 회복 시간이 더 필요하다,사교 능력이나 인기의 높고 낮음이 아니다
m04-core-expert-kit.v0.2-draft,SE_AI,SE-AI,의견이나 선택지를 먼저 밖으로 꺼낸다,다른 사람의 의견을 들은 뒤 자신의 의견을 꺼내는 편이다,리더십이나 옳은 판단의 높고 낮음이 아니다
m04-core-expert-kit.v0.2-draft,OE_AE,OE-AE,장면·소리·공간의 분위기와 인상에 관심이 머문다,분위기와 인상에는 관심이 덜 머문다,감각 능력이나 예술 지식의 높고 낮음이 아니다
m04-core-expert-kit.v0.2-draft,OE_CI,OE-CI,주어진 내용 밖의 장면·이야기·가능성을 더 떠올린다,주어진 내용 안에서 생각하고 별도 이야기를 더 떠올리지 않는다,상상 능력이나 창작 실력의 높고 낮음이 아니다
m04-core-expert-kit.v0.2-draft,OE_IE,OE-IE,필요한 범위보다 이유·배경·다른 설명을 더 알아본다,필요한 답을 얻으면 거기까지 알아보고 넘어간다,지능·학력·검색 기술의 높고 낮음이 아니다
m04-core-expert-kit.v0.2-draft,RO_EC,RO-EC,상대의 마음·안녕에 주의가 먼저 간다,원인·사건·해결할 부분에 주의가 먼저 간다,착함·논리성·공감 능력·문제 해결 능력의 높고 낮음이 아니다
m04-core-expert-kit.v0.2-draft,RO_RN,RO-RN,의견이 달라도 상대의 선택 여지와 존엄을 유지한다,의견이 다를 때 상대의 선택 여지를 좁히는 반응이 나타난다,도덕성·복종·갈등 회피의 높고 낮음이 아니다
m04-core-expert-kit.v0.2-draft,SM_EP,SM-EP,정한 행동을 시작하고 중단 뒤 돌아와 마무리한다,시작·복귀·마무리가 상황에 따라 달라진다,성공·생산성·의지력의 높고 낮음이 아니다
m04-core-expert-kit.v0.2-draft,SM_OS,SM-OS,물건·자료·순서·시점을 다시 찾을 수 있는 기준으로 정한다,고정된 기준보다 그때의 상황에 따라 위치·순서·시점을 정한다,청결함·강박·계획 능력의 높고 낮음이 아니다
m04-core-expert-kit.v0.2-draft,SM_RL,SM-RL,다른 사람과 정한 역할·기한·변경을 확인하고 이행한다,정한 역할·기한의 이행이 상황에 따라 달라진다,도덕성·책임감 있는 사람이라는 평가·복종의 높고 낮음이 아니다
m04-core-expert-kit.v0.2-draft,ER_IR,ER-IR,불편한 감정이 빠르게 커지거나 오래 이어진다,불편한 감정의 크기가 비교적 작게 머물거나 더 빨리 가라앉는다,감정의 풍부함·성숙함·임상 진단의 높고 낮음이 아니다
m04-core-expert-kit.v0.2-draft,ER_WD,ER-WD,잘못될 가능성에 대한 생각이 반복되어 결정이나 착수가 늦어진다,걱정이 생겨도 같은 생각이 반복되어 결정이나 착수를 늦추지는 않는다,신중함·위험 판단 능력·임상 불안의 높고 낮음이 아니다
