issue_code,definition,severity_s0,severity_s1,severity_s2,severity_s3
CONTEXT_MISREAD,상황 라벨을 의도와 다른 조건으로 이해,문제 없음,작은 불편이나 의미·응답은 유지,의미 또는 응답 선택이 달라질 수 있음,의도한 문항으로 사용할 수 없거나 안전·접근 위험이 큼
PROMPT_MISREAD,질문이 묻는 실제 반응을 다르게 이해,문제 없음,작은 불편이나 의미·응답은 유지,의미 또는 응답 선택이 달라질 수 있음,의도한 문항으로 사용할 수 없거나 안전·접근 위험이 큼
DOUBLE_RESPONSE,두 가지 이상 반응을 동시에 묻는다고 느낌,문제 없음,작은 불편이나 의미·응답은 유지,의미 또는 응답 선택이 달라질 수 있음,의도한 문항으로 사용할 수 없거나 안전·접근 위험이 큼
TARGET_SEAM,인접 성향을 주된 질문으로 이해,문제 없음,작은 불편이나 의미·응답은 유지,의미 또는 응답 선택이 달라질 수 있음,의도한 문항으로 사용할 수 없거나 안전·접근 위험이 큼
ABILITY_ACCESS,능력·도구·환경 접근이 응답을 주로 결정,문제 없음,작은 불편이나 의미·응답은 유지,의미 또는 응답 선택이 달라질 수 있음,의도한 문항으로 사용할 수 없거나 안전·접근 위험이 큼
EXPERIENCE_GAP,해당 장면 경험이 거의 없어 빈도 판단 불가,문제 없음,작은 불편이나 의미·응답은 유지,의미 또는 응답 선택이 달라질 수 있음,의도한 문항으로 사용할 수 없거나 안전·접근 위험이 큼
RESPONSE_SCALE,1·3·5점 또는 6개월 빈도 기준을 일관되게 사용하지 못함,문제 없음,작은 불편이나 의미·응답은 유지,의미 또는 응답 선택이 달라질 수 있음,의도한 문항으로 사용할 수 없거나 안전·접근 위험이 큼
SOCIAL_DESIRABILITY,좋은 사람처럼 보이는 방향으로 답을 조정,문제 없음,작은 불편이나 의미·응답은 유지,의미 또는 응답 선택이 달라질 수 있음,의도한 문항으로 사용할 수 없거나 안전·접근 위험이 큼
NEGATION_DIRECTION,비교·부정 표현 때문에 응답 방향을 반대로 이해,문제 없음,작은 불편이나 의미·응답은 유지,의미 또는 응답 선택이 달라질 수 있음,의도한 문항으로 사용할 수 없거나 안전·접근 위험이 큼
UI_INTERFERENCE,상황 라벨·버튼·진행·조작이 이해나 응답을 방해,문제 없음,작은 불편이나 의미·응답은 유지,의미 또는 응답 선택이 달라질 수 있음,의도한 문항으로 사용할 수 없거나 안전·접근 위험이 큼
PRIVACY_DISCOMFORT,공개·관계·민감성 우려가 응답을 방해,문제 없음,작은 불편이나 의미·응답은 유지,의미 또는 응답 선택이 달라질 수 있음,의도한 문항으로 사용할 수 없거나 안전·접근 위험이 큼
OTHER,다른 해석 또는 응답 문제,문제 없음,작은 불편이나 의미·응답은 유지,의미 또는 응답 선택이 달라질 수 있음,의도한 문항으로 사용할 수 없거나 안전·접근 위험이 큼
